intro,address,recomm_score,recomm_reason,name,full_address,gps,longitude,latitude,short_intro,level
龙山风景区位于仪征市西南，青山镇的西北处，南临长江，东靠仪化，是扬州地区保存最为完好的原生态地区。,仪征市西南,4,龙山风景区拥有优美的自然风光和丰富的历史文化，是一个集自然景观和人文景观于一体的旅游胜地。登山可俯瞰整个景区美景，还可体验各种娱乐项目。不过，游客需要自己安排交通前往景区，建议提前了解景区的开放时间和门票价格。,仪征龙山风景区,仪征市西南，仪征龙山风景区,"119.069902,32.253933",119.069902,32.253933,龙山风景区位于仪征市西南，青山镇的西北处，南临长江，东靠仪化，是扬州地区保存最为完好的原生态地区。,全部景点
东门遗址公园是一处融合了历史文化和现代建筑元素的旅游景点。位于江苏省扬州市广陵区东关古渡，是一处见证了扬州历史文化变迁的古城门遗址。,江苏省扬州市广陵区泰州路,3,东门遗址公园虽然不是扬州最著名的景点，但是它所具有的历史和文化价值却不容忽视。这里不仅见证了扬州古代城市的发展历程，还展现了扬州人民对于历史文化的保护和传承。此外，公园内的建筑和雕塑也具有一定的艺术价值，值得游客前来一探究竟。,东门遗址,江苏省扬州市广陵区泰州路，东门遗址,"119.452011,32.397590",119.452011,32.39759,东门遗址公园是一处融合了历史文化和现代建筑元素的旅游景点。位于江苏省扬州市广陵区东关古渡，是一处见证了扬州历史文化变迁的古城门遗址。,文物古迹
蜀冈西峰生态园位于扬州市，是一个集自然风光、人文景观和休闲娱乐于一体的综合性公园。园内拥有茂密的林木、清澈的溪流、奇特的山石和丰富的历史文化遗产，是市民和游客放松身心、感受大自然的好去处。,扬州市,4,蜀冈西峰生态园拥有美丽的自然风光和丰富的历史文化，是一个集观光、休闲、娱乐于一体的综合性公园。园内既有茂密的林木、清澈的溪流等自然景观，又有奇特的山石和丰富的历史文化遗产，是一个非常值得一游的景点。推荐指数为4分，主要是因为该景点的知名度和影响力还有提升的空间。,蜀冈西峰生态园,扬州市，蜀冈西峰生态园,"119.412966,32.394210",119.412966,32.39421,蜀冈西峰生态园位于扬州市，是一个集自然风光、人文景观和休闲娱乐于一体的综合性公园。园内拥有茂密的林木、清澈的溪流、奇特的山石和丰富的历史文化遗产，是市民和游客放松身心、感受大自然的好去处。,全部景点
丁氏盐商住宅位于扬州市区地官第12号，是一座清代的盐商住宅。这座住宅是扬州市文物保护单位之一，于2008年被列为第四批市级文物保护单位。,扬州市广陵区地官第12号,3,丁氏盐商住宅虽然历史价值较高，但目前并没有太多的旅游设施和活动，因此对于普通游客来说可能缺乏吸引力。同时，该景点在外观上可能并不是特别出色，也没有发生过什么著名的历史典故。因此，推荐的分数不是很高。,丁氏盐商住宅,扬州市广陵区地官第12号，丁氏盐商住宅,"119.447972,32.395823",119.447972,32.395823,丁氏盐商住宅位于扬州市区地官第12号，是一座清代的盐商住宅。这座住宅是扬州市文物保护单位之一，于2008年被列为第四批市级文物保护单位。,市级文物
滚龙井，清代水井，位于丁家湾龙井巷口，为扬州市文物保护单位。据《扬州画舫录》记载，滚龙井清泉清澈，现为居民生活用井。井壁青砖砌筑，青石井栏，保存完好。,扬州市广陵区丁家湾龙井巷口,3,滚龙井是扬州市文物保护单位，历史悠久，保存完好。其青石井栏和青砖砌筑的井壁都体现了古代建筑的精致和优美。虽然其外观并不惊艳，也没有发生过著名的历史典故，但其作为扬州历史文化的代表之一，仍然值得一游。,滚龙井,扬州市广陵区丁家湾龙井巷口，滚龙井,"119.445320,32.386480",119.44532,32.38648,滚龙井，清代水井，位于丁家湾龙井巷口，为扬州市文物保护单位。据《扬州画舫录》记载，滚龙井清泉清澈，现为居民生活用井。井壁青砖砌筑，青石井栏，保存完好。,市级文物
高邮净土寺塔，位于江苏省高邮市城区东郊，始建于明万历三十四年（1606年），是高邮著名的古迹之一。这座塔原名为净土寺空塔，俗称东塔，以雄伟见长，挺拔而秀颀。1963年，高邮中学学生朱光荣等攀上塔顶，从中取出明代万历年间的大方广佛华严经等四十余卷，现由南京博物院保存。经过维修后，这座古塔恢复了原有风貌，并在江苏省文物保护单位的名单中被公布。,江苏省高邮市城区东郊,3,高邮净土寺塔历史悠久，具有重要的历史价值和文化意义。此外，维修后的古塔也恢复了原有风貌，使得这座景点更加具有观赏价值。因此，推荐指数为3分。,高邮净土寺塔,江苏省高邮市城区东郊，高邮净土寺塔,"119.447724,32.773390",119.447724,32.77339,高邮净土寺塔，位于江苏省高邮市城区东郊，始建于明万历三十四年（1606年），是高邮著名的古迹之一。这座塔原名为净土寺空塔，俗称东塔，以雄伟见长，挺拔而秀颀。1963年，高邮中学学生朱光荣等攀上塔顶，从中取出明代万历年间的大方广佛华严经等四十余卷，现由南京博物院保存。经过维修后，这座古塔恢复了原有风貌，并在江苏省文物保护单位的名单中被公布。,省级文物
埂子街172号梁氏住宅位于扬州市，是扬州市文物保护单位。这座清代民居建筑规模较大，坐东朝西，分为南、中、北三路建筑，建筑面积达1145.2平方米。南路前后七进，依次为门房、仪门、厅房及住宅四进，均面阔三间。仪门为砖刻门楼，厅房前置卷棚。中路前后四进，第一进三间，第二进花厅仅存柱础及铺地砖，第三、四两进均为三间两厢格局。北路前后两进，为三间两厢一对照格局。虽然历经岁月洗礼，但它的历史价值和建筑美学依旧让人叹为观止。,扬州市埂子街172号,4,埂子街172号梁氏住宅作为扬州市文物保护单位，具有较高的历史和文化价值。建筑规模较大，布局独特，保存较好，因此推荐指数为4分。此分数略低于5分的原因主要是由于该景点并非广为人知的著名景点，且缺乏一些旅游配套设施和服务。,埂子街172号梁氏住宅,扬州市埂子街172号，埂子街172号梁氏住宅,"119.438853,32.388199",119.438853,32.388199,埂子街172号梁氏住宅位于扬州市，是扬州市文物保护单位。这座清代民居建筑规模较大，坐东朝西，分为南、中、北三路建筑，建筑面积达1145.2平方米。南路前后七进，依次为门房、仪门、厅房及住宅四进，均面阔三间。仪门为砖刻门楼，厅房前置卷棚。中路前后四进，第一进三间，第二进花厅仅存柱础及铺地砖，第三、四两进均为三间两厢格局。北路前后两进，为三间两厢一对照格局。虽然历经岁月洗礼，但它的历史价值和建筑美学依旧让人叹为观止。,市级文物
张亮基故居，位于扬州市丁家湾20号，是清咸丰年间湖广、云贵总督张亮基的故宅。故居原有七进建筑，现仅存门楼、正厅、附房。门楼砌筑讲究，是扬州少见的清式金柱式门楼。正厅面阔三间，进深七檩，保存有清咸丰帝赐匾三块。这座建筑见证了扬州的历史变迁和人文韵味。,扬州市广陵区丁家湾20号,4,张亮基故居作为扬州的历史文化遗产，具有独特的历史价值和文化内涵。其保存完好的门楼和正厅，以及三块保存完好的清咸丰帝赐匾，都体现了其重要的历史价值。此外，故居的建筑风格和装饰细节也展示了扬州传统建筑的魅力和独特之处。因此，我们给这个景点推荐指数为4分。,张亮基故居,扬州市广陵区丁家湾20号，张亮基故居,"119.445693,32.385938",119.445693,32.385938,张亮基故居，位于扬州市丁家湾20号，是清咸丰年间湖广、云贵总督张亮基的故宅。故居原有七进建筑，现仅存门楼、正厅、附房。门楼砌筑讲究，是扬州少见的清式金柱式门楼。正厅面阔三间，进深七檩，保存有清咸丰帝赐匾三块。这座建筑见证了扬州的历史变迁和人文韵味。,名人故居
扬州市图书馆是扬州地区最大的公共图书馆和中心图书馆，创建于1950年3月，现位于扬州市文昌西路466号。图书馆以独特的艺术造型、大开放的空间、智能化的楼宇、数字化的服务，成为新的城市高雅文化中心。馆舍建筑面积21718.98平方米，读者座位800个，有纸质文献借阅大厅、电子文献借阅大厅、视障阅览室、多媒体视听室、报告厅、展览厅等服务窗口。馆藏文献约130多万册，其中古籍13.2万册，以较为丰富的文史资料和扬州地方文献藏书为特色。自2008年12月起免费开放以来，截至2015年持证读者已达8.1万。每年完成课题50多项，解答各类咨询3000多条，举办各类公益文化活动100多次，受众人数10万多人。,扬州市文昌西路466号,4,扬州市图书馆在各个方面都表现出色，具有独特的艺术造型、大开放的空间、智能化的楼宇、数字化的服务等特点。作为扬州地区最大的公共图书馆和中心图书馆，它收藏了丰富的文献资料，以文史资料和扬州地方文献藏书为特色。同时，图书馆提供多种服务窗口，如纸质文献借阅大厅、电子文献借阅大厅、视障阅览室等，满足了不同读者的需求。自2008年12月起免费开放以来，吸引了大量读者。此外，扬州市图书馆还举办各种公益文化活动，提高了读者的文化素养。综合以上优点，我们推荐指数为4分。,扬州市图书馆,扬州市文昌西路466号，扬州市图书馆,"119.371784,32.392499",119.371784,32.392499,扬州市图书馆是扬州地区最大的公共图书馆和中心图书馆，创建于1950年3月，现位于扬州市文昌西路466号。图书馆以独特的艺术造型、大开放的空间、智能化的楼宇、数字化的服务，成为新的城市高雅文化中心。馆舍建筑面积21718.98平方米，读者座位800个，有纸质文献借阅大厅、电子文献借阅大厅、视障阅览室、多媒体视听室、报告厅、展览厅等服务窗口。馆藏文献约130多万册，其中古籍13.2万册，以较为丰富的文史资料和扬州地方文献藏书为特色。自2008年12月起免费开放以来，截至2015年持证读者已达8.1万。每年完成课题50多项，解答各类咨询3000多条，举办各类公益文化活动100多次，受众人数10万多人。,全部景点
林氏住宅位于扬州市石牌楼24号，是清末民初的民居建筑。这座住宅以其精美的水磨砖雕大门和传统的四合院布局吸引了游客的目光。进入大门，首先映入眼帘的是一小门厅，向南延伸，与二道门相对。门厅南侧有一个北向的门厅，中间为天井，北侧则是花厅，面阔三间。花厅西侧是客厅，一间宽敞明亮的房间。第三、四进为对合式明三暗四住宅，这种布局展示了中国传统建筑的特色。,扬州市广陵区石牌楼24号,4,林氏住宅是扬州市文物保护单位之一，具有较高的历史和文化价值。其水磨砖雕大门和传统四合院布局使其成为典型的清末民初民居建筑，具有独特的艺术价值。此外，该景点还有一定的历史背景和故事性，如与当地历史人物的关联等，这些因素都为游客提供了较为全面的游览体验。虽然该景点的历史和文化价值是其推荐的主要原因，但也需要考虑其存在的时间长度、外观是否好看等因素。因此，我们给予其4分的推荐分数。,林氏住宅,扬州市广陵区石牌楼24号，林氏住宅,"119.444443,32.390101",119.444443,32.390101,林氏住宅位于扬州市石牌楼24号，是清末民初的民居建筑。这座住宅以其精美的水磨砖雕大门和传统的四合院布局吸引了游客的目光。进入大门，首先映入眼帘的是一小门厅，向南延伸，与二道门相对。门厅南侧有一个北向的门厅，中间为天井，北侧则是花厅，面阔三间。花厅西侧是客厅，一间宽敞明亮的房间。第三、四进为对合式明三暗四住宅，这种布局展示了中国传统建筑的特色。,文物古迹
白鹿岛生态旅游区位于扬州市宝应县，是一个拥有众多美誉的旅游胜地。有机农业区是其重要的观光项目之一，游客可以在这里体验到采摘新鲜有机蔬菜的乐趣。此外，游客还可以在园区内品尝到各种美食，如野味和湖鲜等。白鹿岛国际生态旅游区是一个集生态农业、生态旅游、休闲度假、生态住宅于一体的旅游胜地，为人们提供了一个亲近自然、回归自然的好去处。,扬州市宝应县,4,白鹿岛生态旅游区融合了自然风光和人文景观，游客可以在这里感受到乡村生活的原汁原味。园区内有多种特色旅游项目，如垂钓、跑马、竹排等，适合不同年龄段的游客参与。此外，园区的有机农业区也是一大亮点，游客可以体验到采摘新鲜有机蔬菜的乐趣。因此，白鹿岛生态旅游区是一个值得推荐的旅游胜地。,白鹿岛生态旅游区,扬州市宝应县，白鹿岛生态旅游区,"119.316637,33.140896",119.316637,33.140896,白鹿岛生态旅游区位于扬州市宝应县，是一个拥有众多美誉的旅游胜地。有机农业区是其重要的观光项目之一，游客可以在这里体验到采摘新鲜有机蔬菜的乐趣。此外，游客还可以在园区内品尝到各种美食，如野味和湖鲜等。白鹿岛国际生态旅游区是一个集生态农业、生态旅游、休闲度假、生态住宅于一体的旅游胜地，为人们提供了一个亲近自然、回归自然的好去处。,全部景点
纵棹园是国家AAA级旅游景区，宝应纵棹园位于宝应县城中心叶挺路和安宜路的交汇处，占地68亩，三面环水，典雅清秀，别具一格。园内景色优美，有石桥横跨清溪，假山迎面而立，林荫夹道，苍松隐阁，亭榭倒映，碧荷飘香，杨柳婆娑。园内还有八宝亭、戚汪阁、黄石假山等著名景点，曾是文人墨客临波泛舟、修身养性的最佳去处。,江苏省扬州市宝应县安宜东路与叶挺路交汇处,4,纵棹园是一个历史悠久的园林，有着优美的环境和深厚的文化内涵。园内的建筑和景点众多，展现了古人的审美情趣和文化智慧。同时，这里也是宝应县的文化地标之一，吸引了众多游客前来观光和休闲。推荐游客前来游览，感受古园林的韵味和文化魅力。,纵棹园,江苏省扬州市宝应县安宜东路与叶挺路交汇处，纵棹园,"119.315725,33.234998",119.315725,33.234998,纵棹园是国家AAA级旅游景区，宝应纵棹园位于宝应县城中心叶挺路和安宜路的交汇处，占地68亩，三面环水，典雅清秀，别具一格。园内景色优美，有石桥横跨清溪，假山迎面而立，林荫夹道，苍松隐阁，亭榭倒映，碧荷飘香，杨柳婆娑。园内还有八宝亭、戚汪阁、黄石假山等著名景点，曾是文人墨客临波泛舟、修身养性的最佳去处。,A级景区
马监巷清真寺位于扬州市马监巷东侧，是清康熙五十三年（1714）古元秉所建，已有超过300年的历史。这座建筑曾经设有门厅、牌坊、礼拜殿、照厅、水房、厢房、宿舍等数十间建筑，牌坊上有“整容门”匾，院内有银杏树和“怀清井”。,江苏省扬州市广陵区马监巷,4,马监巷清真寺是扬州市文物保护单位，有着悠久的历史和丰富的文化内涵。虽然建筑曾经遭到破坏，但修复后仍保留了其历史风貌和特色。此外，这里还是扬州市回民文化的重要载体，对于了解当地回民文化和历史具有重要意义。,马监巷清真寺,江苏省扬州市广陵区马监巷，马监巷清真寺,"119.446780,32.396838",119.44678,32.396838,马监巷清真寺位于扬州市马监巷东侧，是清康熙五十三年（1714）古元秉所建，已有超过300年的历史。这座建筑曾经设有门厅、牌坊、礼拜殿、照厅、水房、厢房、宿舍等数十间建筑，牌坊上有“整容门”匾，院内有银杏树和“怀清井”。,市级文物
西方寺大殿，位于扬州市区驼岭巷18号，是全国重点文物保护单位。大殿为歇山重檐式建筑，由楠木构建，通面阔三间，梁枋有彩绘，柱下有木础，基本完好。此外，还有两厢廊房、方丈室等清代建筑。这里不仅是佛教建筑的瑰宝，也是扬州八怪之一金农的故居。金农曾在此度过晚年，现这里已辟为“扬州八怪纪念馆”，对外开放。,扬州市邗江区驼岭巷18号,5,西方寺大殿是佛教建筑的瑰宝，具有很高的历史和文化价值。同时，这里还是“扬州八怪”之一金农的故居，具有深厚的人文气息。修复后的大殿及庭院不仅保留了传统特色，也给人以艺术的享受。作为旅游景点，西方寺大殿值得推荐。,西方寺大殿,扬州市邗江区驼岭巷18号，西方寺大殿,"119.431497,32.398904",119.431497,32.398904,西方寺大殿，位于扬州市区驼岭巷18号，是全国重点文物保护单位。大殿为歇山重檐式建筑，由楠木构建，通面阔三间，梁枋有彩绘，柱下有木础，基本完好。此外，还有两厢廊房、方丈室等清代建筑。这里不仅是佛教建筑的瑰宝，也是扬州八怪之一金农的故居。金农曾在此度过晚年，现这里已辟为“扬州八怪纪念馆”，对外开放。,全国文物
